Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks,Fund Age (Years)
Groww Nifty Smallcap 250 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,95.0,1.05,Open Ended,2024-02-29,Nifty Smallcap 250 - TRI,11.94,12.38,9.0,0.97,-3.55,2.78,11.97,15.99,,,,32.0,250.0,19551.0,55.18,8.01,92.08,Financials,,,,4.33,1.34,2.01,0.88,12.37,Equity : Index Funds,0.25% on or before 7D Nil after 7D,1.0
Groww Nifty Total Market Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,254.9,1.05,Open Ended,2023-10-23,Nifty Total Market - TRI,13.5,14.48,11.36,-0.93,-7.31,-0.96,15.59,15.99,,,,12.0,752.0,195010.0,67.97,17.92,14.07,Financials,,,,6.96,0.8,1.15,1.0,15.04,Equity : Index Funds,0.25% on or before 7D Nil after 7D,2.0
Groww Overnight Fund-Reg(G),Kaustubh Sule,DT-ON,Unrated,26.4,0.24,Open Ended,2019-07-08,CRISIL Liquid Overnight Index,1290.53,1290.53,1211.15,0.54,1.59,3.21,6.57,6.44,5.79,4.71,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.01,0.01,6.68,1.13,8.26,10.95,0.88,0.14,Debt : Overnight,Nil,6.0
Groww Short Duration Fund-Reg(G),Kaustubh Sule,DT-SD,Unrated,58.8,1.6,Open Ended,2013-09-13,CRISIL Short Duration Debt Index,1993.08,1993.17,1867.2,0.5,1.28,3.54,6.75,6.11,4.74,4.59,5.96,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,3.38,2.74,7.18,1.86,4.31,8.98,0.28,0.62,Debt : Short Duration,Nil,12.0
Groww Value Fund-Reg(G),Anupam Tiwari,EQ-VAL,Unrated,46.7,2.3,Open Ended,2015-09-07,NIFTY 500 - TRI,25.87,27.68,22.56,-2.38,-6.7,-1.72,11.97,21.78,14.85,16.87,,103.0,36.0,176329.0,64.9,12.79,15.81,Financials,,,,3.58,0.57,0.83,0.96,14.84,Equity : Value / Contra,1% on or before 1Y Nil after 1Y,10.0
HDFC Arbitrage-WP(G),Arun Agarwal,HY-ARB,2,16790.6,0.93,Open Ended,2007-10-23,Nifty 50 Arbitrage,29.66,29.66,27.57,0.69,1.86,3.54,7.65,7.45,6.35,5.25,5.75,304.88,156.0,234004.0,58.77,15.07,3.4,Financials,0.49,0.44,7.43,3.65,3.44,8.28,-0.07,1.0,Hybrid : Arbitrage,0.25% on or before 1M Nil after 1M,18.0
HDFC Asset Allocator FoF-Reg(G),Srinivasan Ramamurthy,FOF-DOM,Unrated,3397.8,1.15,Open Ended,2021-05-05,NIFTY 50 Hybrid Composite Debt 65:35 Index,17.12,17.46,14.87,-0.25,-2.05,2.81,14.12,17.71,14.91,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,5.92,1.41,2.06,1.27,6.83,FoFs : Domestic,Nil upto 15% of units and 1% for remaining units on or before 1Y Nil after 1Y,4.0
HDFC Balanced Advantage Fund(G),Gopal Agrawal,HY-DYN,4,95569.9,1.35,Open Ended,2000-09-11,NIFTY 50 Hybrid Composite Debt 50:50 Index,504.01,517.12,428.38,-0.46,-2.78,1.08,16.64,24.03,22.45,19.8,14.21,21.71,161.0,277334.0,53.13,6.64,6.82,Financials,7.82,4.21,7.27,6.8,1.15,1.58,1.96,10.89,Hybrid : Dynamic Asset Allocation,Nil upto 15% of Units For excess Units 1% on or before 1Y and Nil after 1Y,25.0
HDFC Banking & Financial Services Fund-Reg(G),Anand Laddha,EQ-FIN,Unrated,3687.2,1.9,Open Ended,2021-07-01,Nifty Financial Services - TRI,15.76,16.73,13.5,-0.52,-4.47,-1.62,10.35,16.21,16.04,,,20.07,33.0,220154.0,65.72,15.23,17.76,Financials,,,,2.24,0.46,0.65,1.04,16.5,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D,4.0
HDFC Banking and PSU Debt Fund-Reg(G),Anil Bamboli,DT-B&PSU,4,5881.5,0.79,Open Ended,2014-03-26,NIFTY Banking and PSU Debt Index,22.02,22.02,20.42,0.54,1.46,3.95,7.82,7.32,5.96,6.38,7.48,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,5.27,3.69,7.42,2.7,5.15,9.78,0.35,0.73,Debt : Banking & PSU,Nil,11.0
HDFC BSE 500 ETF,Abhishek Mor,EQ-ETF,Unrated,15.1,0.3,Open Ended,2023-02-15,BSE 500 - TRI,36.37,39.14,30.57,-1.07,-7.59,-1.23,15.64,15.99,,,,62.81,501.0,224480.0,71.41,18.07,10.47,Financials,,,,7.31,0.8,1.16,1.0,14.9,Equity : ETFs,,2.0
HDFC BSE 500 Index Fund-Reg(G),Nirman Morakhia,EQ-INDX,Unrated,195.6,0.81,Open Ended,2023-04-21,BSE 500 - TRI,15.16,16.33,12.86,-1.11,-7.66,-1.56,14.56,15.99,,,,27.76,501.0,224537.0,71.41,18.05,10.47,Financials,,,,6.02,0.74,1.08,1.0,14.85,Equity : Index Funds,Nil,2.0
HDFC BSE Sensex ETF,Abhishek Mor,EQ-ETF,Unrated,465.4,0.05,Open Ended,2015-12-09,BSE SENSEX - TRI,88.99,807.26,78.33,-1.63,-6.69,-0.81,9.84,15.69,12.46,15.21,,21.9,30.0,684545.0,99.27,0.72,15.24,Financials,,,,1.79,0.46,0.72,0.99,13.84,Equity : ETFs,,10.0
HDFC BSE Sensex Index Fund(G)(Post Addendum),Nirman Morakhia,EQ-INDX,2,7812.8,0.36,Open Ended,2002-07-17,BSE SENSEX - TRI,735.66,789.41,642.5,-1.67,-6.77,-0.98,9.49,15.27,12.03,14.71,11.95,7.46,30.0,684545.0,99.28,0.72,15.24,Financials,,,,1.08,0.44,0.68,1.0,13.9,Equity : Index Funds,0.25% on or before 3D Nil after 3D,23.0
HDFC Business Cycle Fund-Reg(G),Rahul Baijal,EQ-THEM,Unrated,3011.5,1.95,Open Ended,2022-11-30,NIFTY 500 - TRI,14.63,15.6,12.55,0.04,-5.59,1.09,14.08,21.41,,,,32.36,62.0,158414.0,61.12,12.76,19.51,Financials,,,,5.82,0.76,1.11,0.9,13.56,Equity : Thematic,1% on or before 1Y Nil after 1Y,3.0
HDFC Capital Builder Value Fund(G),Anand Laddha,EQ-VAL,2,7384.1,1.84,Open Ended,1994-02-01,NIFTY 500 - TRI,723.08,772.62,585.68,-1.01,-6.53,0.86,21.09,25.75,18.12,20.01,13.76,19.27,89.0,159002.0,65.67,13.75,19.53,Financials,,,,11.79,1.15,1.67,0.94,14.42,Equity : Value / Contra,1% on or before 1Y Nil after 1Y,31.0
HDFC Charity Fund for Cancer Cure-Reg(50% IDCW Donation Option),Anil Bamboli,DT-FMP,Unrated,189.8,1.08,Closed Ended,2023-08-14,NIFTY Medium Duration Debt Index,10.15,10.46,10.04,0.58,1.58,3.97,8.32,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.79,1.63,7.04,3.63,6.03,13.57,0.19,0.7,Debt : FTP/FMP,,2.0
HDFC Childrens Fund,Chirag Setalvad,HY-SOL,4,9937.5,1.73,Open Ended,2001-03-02,NIFTY 50 Hybrid Composite Debt 65:35 Index,294.42,299.86,249.47,-0.08,-2.07,2.47,16.3,21.8,16.66,18.52,13.55,13.27,46.0,126151.0,37.5,1.16,27.18,Financials,9.6,4.7,7.09,6.02,1.15,1.66,1.97,10.26,Hybrid : Solution Oriented,Nil,24.0
HDFC Corp Bond Fund(G),Anupam Joshi,DT-CORP,4,32841.1,0.61,Open Ended,2010-06-29,NIFTY Corporate Bond Index,31.14,31.14,28.7,0.51,1.51,4.22,8.5,7.85,6.3,6.87,7.68,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,6.12,3.95,7.44,3.43,6.26,11.42,0.33,0.7,Debt : Corporate Bond,Nil,15.0
HDFC Credit Risk Debt Fund-(G),Shobhit Mehrotra,DT-CR,5,7404.3,1.58,Open Ended,2014-03-25,NIFTY Credit Risk Bond Index,23.05,23.05,21.32,0.48,1.44,4.11,8.16,7.42,6.18,7.24,7.66,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,3.09,2.11,8.46,3.45,5.34,10.04,0.23,0.77,Debt : Credit Risk,Nil for 15% of Units For excess of limits 1% on or before 12M and 0.50% after 12M but on or before 18M Nil after 18M,11.0
HDFC Defence Fund-Reg(G),Abhishek Poddar,EQ-THEM,Unrated,4609.6,1.86,Open Ended,2023-06-02,Nifty India Defence - TRI,21.65,24.86,15.0,-3.11,-0.56,-8.99,40.74,15.99,,,,22.13,21.0,51791.0,49.18,7.9,42.02,Capital Goods,,,,29.11,1.23,1.78,1.27,28.96,Equity : Thematic,1% on or before 1Y Nil after 1Y,2.0
HDFC Developed World Indexes FoF-Reg(G),Nirman Morakhia,FOF-OVR,Unrated,1286.7,0.63,Open Ended,2021-10-06,MSCI World,14.5,14.71,11.62,0.31,3.34,9.3,22.04,22.58,10.64,,,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,15.12,1.65,2.7,0.56,10.14,FoFs : Overseas,1% on or before 30D Nil after 30D,4.0
HDFC Dividend Yield Fund-Reg(G),Gopal Agrawal,EQ-DIV,Unrated,6140.2,1.8,Open Ended,2020-12-18,NIFTY 500 - TRI,24.96,26.9,20.98,-0.91,-7.89,-1.21,16.02,27.36,20.38,,,15.12,117.0,142612.0,64.44,10.11,23.76,Financials,,,,7.86,0.83,1.18,1.0,15.53,Equity : Thematic - Dividend Yield,1% on or before 1Y Nil after 1Y,5.0
HDFC Dynamic Debt Fund(G),Anil Bamboli,DT-DYN,4,790.8,1.52,Open Ended,1997-04-28,NIFTY Composite Debt Index,86.21,86.39,79.35,0.28,0.41,3.85,8.54,7.59,5.55,6.57,6.29,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,15.84,7.59,7.1,1.54,2.43,3.96,0.95,1.79,Debt : Dynamic Bond,Nil,28.0
HDFC Dynamic PE Ratio FOF-Reg(G),Srinivasan Ramamurthy,FOF-DOM,Unrated,49.0,1.0,Open Ended,2012-02-06,NIFTY 50 Hybrid Composite Debt 65:35 Index,39.7,40.2,34.9,0.18,-1.58,3.05,12.96,17.9,14.4,15.62,11.17,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.95,2.16,,4.91,1.26,1.8,1.27,6.88,FoFs : Domestic,1% on or before 1Y Nil after 1Y,13.0
HDFC ELSS Tax saver(G),Roshi Jain,EQ-ELSS,2,15945.0,1.71,Open Ended,1996-03-31,NIFTY 500 - TRI,1346.32,1434.89,1088.15,-1.05,-6.08,0.9,21.79,27.94,21.96,20.7,12.68,40.8,51.0,244307.0,74.91,6.66,10.66,Financials,,,,12.5,1.34,2.04,0.84,12.51,Equity : Tax Saving (ELSS),Nil,29.0
HDFC Equity Savings Fund(G),Srinivasan Ramamurthy,HY-EQ,2,5516.2,1.89,Open Ended,2004-09-17,NIFTY 50 Equity Savings Index - TRI,63.96,64.88,57.72,-0.1,-1.51,2.17,10.33,12.22,10.2,11.05,9.36,22.56,68.0,332765.0,58.03,3.56,4.31,Financials,4.0,2.82,7.19,3.48,1.27,1.84,0.91,4.84,Hybrid : Equity Oriented,NIL upto 15% of investment and 1% in excess of 15% of investment on or before 1M NIL after 1M,21.0
HDFC Flexi Cap Fund(G),Roshi Jain,EQ-FLEX,3,66304.2,1.42,Open Ended,1995-01-01,NIFTY 500 - TRI,1891.42,1980.58,1503.01,-0.93,-4.43,3.01,23.83,27.65,24.65,22.59,14.77,37.16,53.0,262039.0,72.4,3.91,10.97,Financials,1.14,0.92,6.78,14.39,1.54,2.33,0.8,11.99,Equity : Flexi Cap,1% on or before 1Y Nil after 1Y,30.0
HDFC Floating Rate Debt Fund(G),Shobhit Mehrotra,DT-FL,3,15103.9,0.49,Open Ended,2007-10-23,CRISIL Short Duration Debt Index,47.85,47.85,44.22,0.56,1.79,4.07,8.26,7.95,6.82,6.71,7.4,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,4.33,1.36,7.71,3.91,9.32,20.11,0.09,0.45,Debt : Floater,Nil,18.0
HDFC FMP-Sr 46-1158D-July 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,160.6,1.08,Closed Ended,2022-07-26,CRISIL Medium Duration Debt Index,11.78,11.78,10.98,0.52,1.47,3.48,7.33,7.08,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.65,0.62,6.86,2.97,7.49,17.19,0.1,0.44,Debt : FTP/FMP,,3.0
HDFC FMP-Sr 46-1162D-Mar 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,32.2,1.08,Closed Ended,2022-03-15,NIFTY Medium Duration Debt Index,11.71,11.71,10.9,0.56,1.58,3.52,7.41,7.19,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.35,0.34,6.71,3.2,9.33,20.8,0.05,0.36,Debt : FTP/FMP,,3.0
HDFC FMP-Sr 46-1359D-Sep 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,314.9,1.08,Closed Ended,2022-10-11,NIFTY Medium Duration Debt Index,11.76,11.76,10.93,0.61,1.57,3.79,7.58,7.35,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.41,1.36,6.86,2.82,5.44,11.86,0.22,0.64,Debt : FTP/FMP,,3.0
HDFC FMP-Sr 46-1406D-Aug 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,245.1,1.08,Closed Ended,2022-08-25,NIFTY Long Duration Debt Index,11.72,11.72,10.87,0.55,1.54,3.8,7.82,7.4,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.4,1.3,6.99,3.23,5.9,14.53,0.16,0.63,Debt : FTP/FMP,,3.0
HDFC FMP-Sr 46-1861D-Mar 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,451.0,1.08,Closed Ended,2022-03-09,NIFTY Medium to Long Duration Debt Index,11.84,11.84,10.95,0.57,1.54,3.99,8.28,7.71,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.22,2.03,7.01,3.2,5.55,12.65,0.29,0.73,Debt : FTP/FMP,,3.0
HDFC FMP-Sr 46-1876D-Mar 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,31.6,1.08,Closed Ended,2022-03-29,NIFTY Medium to Long Duration Debt Index,11.81,11.81,10.92,0.53,1.51,3.99,8.14,7.79,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,2.26,2.06,7.0,3.07,5.73,13.62,0.3,0.69,Debt : FTP/FMP,,3.0
HDFC FMP-Sr 47-1204D-Dec 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,51.2,1.08,Closed Ended,2022-12-27,NIFTY Medium Duration Debt Index,11.49,11.49,10.72,0.57,1.49,3.61,7.24,7.13,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.32,1.24,6.82,2.6,5.53,12.81,0.2,0.58,Debt : FTP/FMP,,3.0
HDFC FMP-Sr 47-1269D-March 2023-Reg(G),Anupam Joshi,DT-FMP,Unrated,76.0,1.08,Closed Ended,2023-03-21,NIFTY Medium Duration Debt Index,11.34,11.34,10.53,0.58,1.56,3.87,7.74,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.75,1.69,6.87,2.8,4.76,10.35,0.28,0.77,Debt : FTP/FMP,,2.0
HDFC FMP-Sr 47-2638D-Feb 2023-Reg(G),Anupam Joshi,DT-FMP,Unrated,151.0,1.08,Closed Ended,2023-02-23,NIFTY Long Duration Debt Index,11.75,11.77,10.75,0.51,1.24,4.71,9.15,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,5.19,4.94,6.95,2.55,2.99,5.65,0.83,1.67,Debt : FTP/FMP,,2.0
HDFC Focused 30 Fund(G),Roshi Jain,EQ-MLC,2,15520.7,1.67,Open Ended,2004-09-17,NIFTY 500 - TRI,218.46,228.88,173.45,-1.31,-4.2,2.86,24.35,27.4,24.41,22.6,13.84,32.26,30.0,206010.0,63.45,4.15,15.68,Financials,,,,15.02,1.66,2.52,0.74,11.33,Equity : Multi Cap,1% on or before 1Y Nil after 1Y,21.0
HDFC Gilt Fund(G),Anil Bamboli,DT-GILT,2,2857.2,0.89,Open Ended,2001-07-25,Nifty All Duration G-Sec Index,53.11,53.21,48.82,0.36,0.53,4.13,8.67,7.85,5.77,5.95,6.78,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,15.22,7.89,7.01,1.39,2.28,3.87,1.04,1.96,Debt : Gilt,Nil,24.0
HDFC Gold ETF,Bhagyesh Kagalkar,GOLD-ETF,Unrated,6429.4,0.59,Open Ended,2010-08-13,Gold-India,66.66,68.71,53.64,-0.72,0.7,5.42,19.31,16.88,15.85,13.48,9.83,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,15.4,1.07,1.57,-0.07,14.24,Gold : ETFs,Nil,15.0
HDFC Gold ETF FoF(G),Nirman Morakhia,GOLD-MF,Unrated,2714.5,0.49,Open Ended,2011-11-01,Gold-India,23.33,24.18,18.88,0.04,1.18,5.81,19.31,16.52,15.48,13.14,9.68,18.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,,,,14.14,1.15,1.91,0.25,12.91,Gold : MFs,1% on or before 15D Nil after 15D,14.0
HDFC Housing Opp Fund-Reg(G),Srinivasan Ramamurthy,EQ-INFRA,1,1408.4,2.19,Open Ended,2017-12-06,Nifty Housing - TRI,22.51,24.67,19.31,-0.96,-8.96,-7.47,13.55,25.79,21.73,18.82,,6.3,36.0,113455.0,60.3,7.77,31.7,Financials,,,,5.29,0.57,0.8,1.13,19.17,Equity : Sectoral - Infrastructure,1% on or before 30D Nil after 30D,8.0
HDFC Hybrid Debt Fund(G),Srinivasan Ramamurthy,HY-DT(CO),4,3322.3,1.76,Open Ended,2003-12-26,NIFTY 50 Hybrid Composite Debt 15:85 Index,79.43,80.02,71.69,-0.02,-0.81,2.75,10.47,12.25,10.17,10.71,8.79,0.0,39.0,334329.0,17.97,1.98,1.92,Financials,9.1,5.08,7.4,3.43,1.57,2.25,0.99,4.07,Hybrid : Debt Oriented (Conservative),Nil for 15% of investment and 1% for remaining Investment on or before 1Y Nil after 1Y,22.0
HDFC Hybrid Equity Fund(G),Chirag Setalvad,HY-EQ,4,24184.8,1.68,Open Ended,2005-04-06,NIFTY 50 Hybrid Composite Debt 65:35 Index,115.35,118.72,100.45,-0.52,-2.76,1.07,13.16,15.66,13.53,15.58,10.11,34.81,40.0,253687.0,48.35,3.23,16.06,Financials,10.44,5.53,7.48,3.91,0.9,1.31,1.75,9.99,Hybrid : Equity Oriented,Nil upto 15% of Units For excess Units 1% on or before 1Y and Nil after 1Y,20.0
HDFC Income Fund(G),Shobhit Mehrotra,DT-M&LD,2,860.8,1.39,Open Ended,2000-09-11,CRISIL Medium to Long Term Debt Index,55.74,55.81,51.07,0.36,0.63,3.91,9.02,7.45,5.22,5.33,6.0,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,11.35,6.7,7.09,1.66,2.5,4.32,1.04,1.9,Debt : Medium to Long Duration,Nil,25.0
HDFC Infrastructure Fund(G),Srinivasan Ramamurthy,EQ-INFRA,1,2496.2,2.06,Open Ended,2008-03-10,BSE India Infrastructure Index - TRI,46.98,50.26,37.93,-0.91,-6.65,-3.66,22.61,38.12,32.01,24.38,10.99,13.52,62.0,71453.0,44.82,7.43,41.26,Infrastructure,,,,14.21,1.05,1.47,1.03,18.45,Equity : Sectoral - Infrastructure,1% on or before 30D Nil after 30D,17.0
HDFC Large and Mid Cap Fund-Reg(G),Gopal Agrawal,EQ-L&M,4,23989.0,1.66,Open Ended,1994-02-18,NIFTY LargeMidcap 250 - TRI,335.4,355.77,274.64,-0.13,-6.41,0.15,19.55,28.95,21.85,23.26,14.06,5.35,205.0,119282.0,46.86,36.37,15.33,Financials,,,,10.74,1.02,1.46,0.96,15.35,Equity : Large & Mid Cap,1% on or before 1Y Nil after 1Y,31.0
HDFC Liquid Fund(G),Anupam Joshi,DT-LIQ,2,72653.3,0.29,Open Ended,2000-10-17,CRISIL Liquid Debt Index,4952.9,4952.9,4615.66,0.58,1.73,3.52,7.33,7.13,6.35,5.26,6.24,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.12,0.11,7.06,0.73,9.73,5.46,0.88,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D,25.0
HDFC Long Duration Debt Fund-Reg(G),Shobhit Mehrotra,DT-LD,Unrated,5483.1,0.65,Open Ended,2023-01-20,NIFTY Long Duration Debt Index,11.84,11.89,10.59,0.34,-0.36,3.66,11.44,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,29.73,11.9,7.13,1.51,2.06,3.65,1.8,3.35,Debt : Long Duration,Nil,2.0
HDFC Low Duration Fund(G),Anupam Joshi,DT-LOWD,4,18497.0,1.04,Open Ended,1999-11-18,NIFTY Low Duration Debt Index,55.54,55.54,51.74,0.56,1.69,3.57,7.36,7.2,6.16,6.04,6.73,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,1.95,0.9,7.8,3.18,9.99,19.53,0.05,0.33,Debt : Low Duration,Nil,26.0
HDFC Manufacturing Fund-Reg(G),Rakesh Sethia,EQ-THEM,Unrated,12755.4,1.68,Open Ended,2024-05-16,Nifty India Manufacturing - TRI,10.59,11.48,9.86,-0.83,-8.62,-3.46,11.97,15.99,,,,18.0,95.0,104208.0,60.6,17.5,19.08,Automobile and Ancillaries,,,,4.33,1.34,2.01,0.88,12.37,Equity : Thematic,1% on or before 1M Nil after 1M,1.0
HDFC Medium Term Debt Fund(G),Shobhit Mehrotra,DT-MD,4,3987.6,1.33,Open Ended,2002-02-06,NIFTY Medium Duration Debt Index,53.86,53.86,49.86,0.44,1.2,4.0,8.02,7.37,5.86,6.46,7.15,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,5.82,3.82,7.72,2.55,4.39,7.92,0.46,0.89,Debt : Medium Duration,Nil,23.0
HDFC Mid-Cap Opportunities Fund(G),Chirag Setalvad,EQ-MID,3,76060.9,1.39,Open Ended,2007-06-25,Nifty Midcap 150 - TRI,192.44,195.31,148.3,1.69,-2.42,4.8,28.25,36.34,28.13,28.8,18.04,19.61,75.0,47588.0,6.05,62.22,23.47,Financials,,,,18.42,1.44,2.14,0.87,15.83,Equity : Mid Cap,1% on or before 1Y Nil after 1Y,18.0
HDFC MNC Fund-Reg(G),Rahul Baijal,EQ-MNC,Unrated,632.8,2.42,Open Ended,2023-03-09,NIFTY MNC - TRI,13.82,15.4,12.02,-1.8,-11.19,-6.79,8.11,15.99,,,,35.93,32.0,70069.0,47.41,17.7,27.77,FMCG,,,,1.89,0.42,0.64,0.7,13.02,Equity : Thematic - MNC,1% on or before 1Y Nil after 1Y,2.0
HDFC Money Market Fund-Reg(G),Praveen Jain,DT-MM,4,26787.6,0.41,Open Ended,2000-01-03,CRISIL Money Market Index,5499.51,5499.51,5110.1,0.62,1.77,3.66,7.64,7.46,6.55,5.98,6.75,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.32,0.3,7.33,3.5,11.21,22.94,0.03,0.32,Debt : Money Market,Nil,25.0
HDFC Multi Cap Fund-Reg(G),Gopal Agrawal,EQ-MLC,Unrated,17249.8,1.67,Open Ended,2021-12-10,Nifty500 Multicap 50:25:25 - TRI,19.12,20.13,15.4,0.97,-5.67,0.36,21.25,30.95,23.68,,,5.42,217.0,91267.0,42.54,27.75,26.63,Financials,3.37,2.84,7.48,12.27,1.11,1.6,0.95,15.39,Equity : Multi Cap,1% on or before 1Y Nil after 1Y,4.0
HDFC Multi-Asset Fund(G),Srinivasan Ramamurthy,HY-MULTI,Unrated,3817.8,1.91,Open Ended,2005-08-17,NIFTY 50 - TRI,67.5,69.37,58.74,-0.44,-2.85,2.11,13.72,16.03,12.14,14.8,10.55,19.87,71.0,294689.0,56.42,3.24,7.5,Financials,4.24,2.84,7.15,6.07,1.33,1.97,1.12,7.0,Hybrid : Multi Asset Allocation,Nil upto 15% of units For remaining units 1% or or before 12M Nil after 12M,20.0
HDFC NIFTY 100 Equal Weight Index Fund-Reg(G),Nirman Morakhia,EQ-INDX,Unrated,327.8,0.83,Open Ended,2022-02-23,Nifty100 Equal Weight - TRI,15.89,17.77,13.25,-2.07,-11.21,-4.11,16.55,23.6,,,,35.96,100.0,199920.0,88.91,10.95,15.24,Financials,,,,7.94,0.81,1.17,1.01,16.09,Equity : Index Funds,Nil,3.0
HDFC Nifty 100 ETF,Abhishek Mor,EQ-ETF,Unrated,23.7,0.3,Open Ended,2022-08-05,NIFTY 100 - TRI,25.51,27.76,21.77,-1.84,-8.45,-1.98,12.93,17.63,,,,21.28,100.0,437037.0,96.9,3.09,15.24,Financials,,,,4.61,0.64,0.95,1.02,14.52,Equity : ETFs,,3.0
HDFC NIFTY 100 Index Fund-Reg(G),Nirman Morakhia,EQ-INDX,Unrated,280.9,0.75,Open Ended,2022-02-23,NIFTY 100 - TRI,14.51,15.82,12.45,-1.89,-8.57,-2.25,12.37,16.95,,,,6.71,100.0,437008.0,96.85,3.09,15.24,Financials,,,,3.75,0.61,0.9,1.02,14.54,Equity : Index Funds,Nil,3.0
HDFC Nifty 1D Rate Liquid ETF,Swapnil Jangam,DT-ETF,Unrated,75.2,0.5,Open Ended,2023-08-24,Nifty 1D Rate Index,1000.0,1000.0,1000.0,0.48,1.41,2.84,5.9,15.99,,,,0.0,50.0,156243.5,55.18,14.37,15.24,Not Applicable,0.01,0.01,6.65,0.6,4.64,5.73,0.88,0.13,Debt : ETFs,,2.0
HDFC Nifty 50 ETF,Abhishek Mor,EQ-ETF,Unrated,4019.7,0.05,Open Ended,2015-12-09,NIFTY 50 - TRI,267.26,289.25,232.24,-1.61,-7.82,-1.24,10.39,16.48,12.91,15.68,,11.79,50.0,555827.0,98.74,1.25,15.24,Financials,,,,2.32,0.5,0.76,0.99,13.91,Equity : ETFs,,10.0
HDFC Nifty 50 Index Fund(G)(Post Addendum),Nirman Morakhia,EQ-INDX,4,18412.1,0.36,Open Ended,2002-07-17,NIFTY 50 - TRI,227.79,246.76,198.6,-1.64,-7.91,-1.43,10.0,16.05,12.48,15.2,11.92,10.8,50.0,555827.0,98.76,1.25,15.24,Financials,,,,1.59,0.47,0.72,1.0,13.97,Equity : Index Funds,0.25% on or before 3D Nil after 3D,23.0
HDFC NIFTY Bank ETF,Abhishek Mor,EQ-ETF,Unrated,2728.0,0.16,Open Ended,2020-08-21,NIFTY BANK - TRI,52.61,488.02,45.44,-1.93,-3.55,-2.7,6.59,10.01,13.97,,,40.52,12.0,538945.0,86.42,13.58,15.24,Financials,,,,-1.29,0.21,0.32,1.08,17.43,Equity : ETFs,,5.0
